"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class weights:","drop out","feature_extraction_config.data.batch_size","feature_extraction_config.data.mask_threshold","feature_extraction_config.data.target_mpp","feature_extraction_config.data.tile_overlap","feature_extraction_config.data.tile_size","feature_extraction_config.model.feature_dim","feature_extraction_config.model.name","hidden_dim","k_folds","lr","nr_epochs","wd","epoch","final_val_HGD_auc","final_val_HGD_f1","final_val_HGD_precision","final_val_HGD_recall","final_val_LGD_auc","final_val_LGD_f1","final_val_LGD_precision","final_val_LGD_recall","final_val_NDBE_auc","final_val_NDBE_f1","final_val_NDBE_precision","final_val_NDBE_recall","final_val_accuracy","fold/convergence_epoch","fold/loss_instability","fold/val_accuracy","summary/mean_convergence_epoch","summary/mean_loss_instability","summary/mean_val_accuracy","summary/val_accuracy_variance","train_accuracy_epoch","train_accuracy_step","train_loss_epoch","train_loss_step","trainer/global_step","val_accuracy","val_loss"
"convmetrics_Pathologist_20_fold_5","finished","-","","","2025-05-05T14:11:07.000Z","48202","","1","[0.5775400996208191,0.931034505367279,5.142857074737549]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9504504799842834","0.5454545617103577","0.6000000238418579","0.5","0.7952480912208557","0.5660377144813538","0.5769230723381042","0.5555555820465088","0.8588007688522339","0.8125","0.795918345451355","0.8297872543334961","0.7124999761581421","6","0.20902636752854528","0","67.23178807947019","NaN","0","0","0.9629629850387572","1","0.1434844732284546","0.006424606777727604","48600","0.6875","1.1189019680023191"
"convmetrics_Pathologist_20_fold_4","finished","-","","","2025-05-05T14:10:51.000Z","47935","","1","[0.5493197441101074,1.0062304735183716,5.383333206176758]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.92471045255661","0.4000000059604645","0.6666666865348816","0.2857142984867096","0.874691367149353","0.71875","0.8214285969734192","0.6388888955116272","0.9198286533355712","0.8181818127632141","0.7200000286102295","0.9473684430122375","0.7530864477157593","72","0.5401777355993486","1","62.29801324503311","NaN","0.7284768211920529","0.19779834217797468","0.9287925958633424","0","0.25313159823417664","0.8579918146133423","48450","0.7530864477157593","0.6231068968772888"
"convmetrics_Pathologist_20_fold_3","finished","-","","","2025-05-05T14:10:35.000Z","47666","","1","[0.5757575631141663,0.9444444179534912,4.89393949508667]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.907894730567932","0.3333333432674408","1","0.20000000298023224","0.8673740029335022","0.692307710647583","0.782608687877655","0.6206896305084229","0.9292865991592408","0.8653846383094788","0.7894737124443054","0.957446813583374","0.790123462677002","21","0.39756941745805774","1","87.30463576158941","NaN","0.9933774834437086","0.0065786588307530395","0.9164086580276488","1","0.24550431966781616","0.1157992258667946","48450","0.7777777910232544","0.5363313555717468"
"convmetrics_Pathologist_20_fold_2","finished","-","","","2025-05-05T14:10:19.000Z","47399","","1","[0.6048688888549805,0.8682795763015747,5.126984119415283]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9377777576446532","0.25","0.5","0.1666666716337204","0.8463497161865234","0.5641025900840759","0.550000011920929","0.5789473652839661","0.9057142734527588","0.886956512928009","0.8644067645072937","0.9107142686843872","0.7777777910232544","106","0.3978151121028309","1","83.26490066225166","NaN","0.9867549668874172","0.013069602210429371","0.925696611404419","1","0.2563703656196594","0.0750429555773735","48450","0.8024691343307495","0.4768392741680145"
"convmetrics_Pathologist_20_fold_1","finished","-","","","2025-05-05T14:10:02.000Z","47140","","1","[0.5726950168609619,0.9699699878692628,4.486111164093018]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.935897409915924","0.5","1","0.3333333432674408","0.7710459232330322","0.5555555820465088","0.6818181872367859","0.46875","0.798757791519165","0.7884615659713745","0.7068965435028076","0.8913043737411499","0.7037037014961243","9","0.42110836314663247","0","62.35099337748344","NaN","0","0","0.9442724585533142","1","0.2075318843126297","0.7153777480125427","48450","0.7160493731498718","0.9944238662719728"
"convmetrics_Pathologist_19_fold_5","finished","-","","","2025-05-05T14:09:31.000Z","46885","","1","[0.6782496571540833,0.7912912964820862,3.818840503692627]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8642987012863159","0.375","0.4285714328289032","0.3333333432674408","0.8561747074127197","0.7368420958518982","0.7446808218955994","0.7291666865348816","0.9122806787490844","0.887417197227478","0.8701298832893372","0.9054054021835328","0.8015267252922058","22","0.4183726078329765","1","74.62913907284768","NaN","0.8278145695364238","0.14253760799964912","0.929791271686554","1","0.23320339620113373","0.13269370794296265","79050","0.8091602921485901","0.606210470199585"
"convmetrics_Pathologist_19_fold_4","finished","-","","","2025-05-05T14:09:09.000Z","46467","","1","[0.634175717830658,0.8569105863571167,3.9037036895751953]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8454545736312866","0.3636363744735718","0.3333333432674408","0.4000000059604645","0.857109546661377","0.7603305578231812","0.8214285969734192","0.7076923251152039","0.92595237493515","0.8571428656578064","0.8095238208770752","0.9107142686843872","0.7709923386573792","8","0.5436933042034993","1","85.49668874172185","NaN","0.9271523178807948","0.0675408973290645","0.9392789602279664","1","0.22121132910251615","0.14620341360569","79050","0.7404580116271973","0.76469886302948"
"convmetrics_Pathologist_19_fold_3","finished","-","","","2025-05-05T14:08:46.000Z","46052","","1","[0.671775221824646,0.8117284178733826,3.5782313346862793]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9285714030265808","0.5882353186607361","0.4545454680919647","0.8333333134651184","0.851377010345459","0.7524752616882324","0.8085106611251831","0.7037037014961243","0.8770833611488342","0.835616409778595","0.8243243098258972","0.8472222089767456","0.7878788113594055","79","0.4065333370969531","1","76.64238410596026","NaN","1","0","0.946768045425415","1","0.2158268541097641","0.37522539496421814","78900","0.7575757503509521","0.7625371813774109"
"convmetrics_Pathologist_19_fold_2","finished","-","","","2025-05-05T14:08:23.000Z","45643","","1","[0.6566791534423828,0.8117284178733826,4.077519416809082]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9111111164093018","0.4615384638309479","0.4285714328289032","0.5","0.8855650424957275","0.7272727489471436","0.800000011920929","0.6666666865348816","0.9364095330238342","0.8633093237876892","0.8219178318977356","0.9090909361839294","0.7727272510528564","146","0.4168316374532062","0","73.06622516556291","NaN","0","0","0.9391635060310364","1","0.22522903978824615","0.0006550788530148566","78900","0.7878788113594055","0.6112838387489319"
"convmetrics_Pathologist_19_fold_1","finished","-","","","2025-05-05T14:08:00.000Z","45226","","1","[0.6542288661003113,0.7933635115623474,4.738738536834717]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8942494988441467","0.5517241358757019","0.7272727489471436","0.4444444477558136","0.7885419130325317","0.7254902124404907","0.698113203048706","0.7551020383834839","0.8932262063026428","0.8721804618835449","0.8529411554336548","0.892307698726654","0.7803030014038086","11","0.4873141987893913","1","102.41059602649008","NaN","1","0","0.9201520681381226","1","0.23970896005630493","0.5441447496414185","78900","0.7651515007019043","0.6949084997177124"
